"","SR","X","poligons","x","y","PSV","RPD"
"82",2.44948974278318,49913,222483,0.625,51.375,0.258149169104824,0.0199230072393678
"83",1.4142135623731,50607,223938,4.375,51.125,0.145508537641939,0.105074705779893
"85",1.4142135623731,51027,224892,-117.125,50.875,0.296907437714234,0.0646437493798925
"86",1.4142135623731,51036,224901,-114.875,50.875,0.295310207745608,0.0629673063798926
"87",1.4142135623731,51336,225423,15.625,50.875,0.362697804206285,0.0177144187798926
"88",2,51982,226837,9.125,50.625,0.254865330018978,0.0144352459117829
"89",1.73205080756888,52000,226855,13.625,50.625,0.239285312729244,-0.0663275972577658
"90",1.4142135623731,52008,226863,15.625,50.625,0.362697804206285,0.0177144187798926
"91",1.4142135623731,52378,227763,-119.375,50.375,0.295310207745608,0.0629673063798926
"92",1.73205080756888,54357,232107,-113.375,49.625,0.284122635564354,0.0169968067422341
"93",1.73205080756888,55630,234958,-120.625,49.125,0.331240678643688,0.0562508263422342
"94",1.4142135623731,56272,235837,99.125,49.125,0.00993652228608499,0.0326847387798925
"95",2.64575131106459,56397,236504,-94.125,48.875,0.233871820732948,0.0701757510895682
"96",3,56570,236917,9.125,48.875,0.119137800269372,0.222633957464843
"97",2.23606797749979,56589,236936,13.875,48.875,0.160115434655726,-0.138160333011058
"98",6.6332495807108,57283,238404,20.875,48.625,0.306434319480077,0.378606679207581
"99",2,58498,240976,-56.125,48.125,0.255824242245947,0.0945753379117829
"100",2,58499,240977,-55.875,48.125,0.255824242245947,0.0945753379117829
"101",2,59041,242258,-95.625,47.875,0.191059767847608,-0.0397116424882171
"102",2,59154,242416,-56.125,47.875,0.255824242245947,0.0945753379117829
"103",2,59155,242417,-55.875,47.875,0.255824242245947,0.0945753379117829
"104",3,59218,242676,8.875,47.875,0.200008513517187,-0.0459257365351569
"105",3,59219,242677,9.125,47.875,0.200008513517187,-0.0459257365351569
"108",1.4142135623731,62099,249357,-120.875,46.625,0.015221108694321,-0.148169210220107
"109",3.74165738677394,62352,249866,6.375,46.625,0.24807654098402,-0.110637683289361
"110",3.46410161513775,62353,249867,6.625,46.625,0.191747599706401,-0.118318795361136
"111",2,63575,252750,7.375,46.125,0.275968549565745,-0.0178818600882171
"112",1.4142135623731,64671,255314,-71.625,45.625,0.391052278067212,0.0494964377798925
"113",1.4142135623731,64672,255315,-71.375,45.625,0.391052278067212,0.0494964377798925
"114",2,64751,255635,8.625,45.625,0.265877012075932,-0.0249516470882171
"118",1.4142135623731,67105,261451,22.625,44.625,0.413705688450433,0.0781008147798926
"120",1.73205080756888,68233,264401,40.125,44.125,0.295776394450804,0.0729583297422342
"121",1.73205080756888,68235,264403,40.625,44.125,0.295776394450804,0.0729583297422342
"122",2.44948974278318,68723,265758,19.375,43.875,0.213689334905405,-0.0882724207606323
"123",2.44948974278318,68724,265759,19.625,43.875,0.213689334905405,-0.0882724207606323
"129",3.60555127546399,70348,270094,23.375,43.125,0.167087688341197,-0.0814179377645028
"130",4.47213595499958,70838,271445,1.125,42.875,0.172026318581935,-0.210640368259229
"131",2.82842712474619,71806,274014,-76.625,42.375,0.248675349380923,-0.00504563313645956
"132",2.44948974278318,72325,275465,-73.875,42.125,0.247786247700795,-0.0176680051606323
"133",4.12310562561766,72328,275468,-73.125,42.125,0.266384446881746,0.0130059769049152
"134",1.4142135623731,72368,275755,-1.375,42.125,0.145508537641939,0.105074705779893
"135",1.73205080756888,72802,276855,-86.375,41.875,0.258121847362367,0.0422947087422342
"136",1.4142135623731,72863,277172,-7.125,41.875,0.180978136978498,-0.114825246220107
"139",2,72892,277201,0.125,41.875,0.735577007556817,0.088716389911783
"140",1.4142135623731,73927,280051,-7.375,41.375,0.145508537641939,0.105074705779893
"141",2,73936,280060,-5.125,41.375,0.2614482032836,0.0678134249117829
"142",1.4142135623731,74588,281700,44.875,41.125,0.432941596766658,0.112803373779893
"143",1.4142135623731,74988,282665,-73.875,40.875,0.271817793928464,0.0395345457798926
