"","SR","poligons","x","y","PSV","RPD"
"58",2.23606797749979,216749,7.125,52.375,0.300220134479378,-0.0102792177678397
"59",2.23606797749979,216750,7.375,52.375,0.300220134479378,-0.0102792177678397
"60",1.4142135623731,216764,10.875,52.375,0.239522799262934,0.0177967285905776
"61",1.4142135623731,217920,-60.125,52.125,0.42640198607436,0.0743582377905777
"62",1.4142135623731,217921,-59.875,52.125,0.42640198607436,0.0743582377905777
"63",2.44948974278318,218150,-2.625,52.125,0.306865452521412,-0.00748126302162999
"64",2.44948974278318,218151,-2.375,52.125,0.306865452521412,-0.00748126302162999
"66",1.4142135623731,219143,-114.375,51.875,0.261890723250157,0.0133599197905776
"67",1.4142135623731,219360,-60.125,51.875,0.42640198607436,0.0743582377905777
"68",1.4142135623731,219361,-59.875,51.875,0.42640198607436,0.0743582377905777
"69",3.60555127546399,219598,-0.625,51.875,0.279302923813473,-0.196702513058048
"72",2.82842712474619,221088,11.875,51.625,0.595012991841205,-0.0129019862521036
"73",2.82842712474619,221089,12.125,51.625,0.595012991841205,-0.0129019862521036
"74",2.44948974278318,221131,22.625,51.625,0.297500536179468,0.10574795017837
"77",1.73205080756888,222527,11.625,51.375,0.609603300812714,-0.0477842452192021
"78",2.82842712474619,222528,11.875,51.375,0.595012991841205,-0.0129019862521036
"79",2.82842712474619,222529,12.125,51.375,0.595012991841205,-0.0129019862521036
"81",2.23606797749979,224253,83.125,51.125,0.330019729829865,0.0313723664321602
"82",2.64575131106459,225423,15.625,50.875,0.324007634189287,0.0775057550921276
"83",1.4142135623731,225548,46.875,50.875,0.0281492776811874,-0.0369344794094225
"84",1.4142135623731,225549,47.125,50.875,0.0281492776811874,-0.0369344794094225
"87",2.64575131106459,226863,15.625,50.625,0.324007634189287,0.0775057550921276
"88",2.23606797749979,226882,20.375,50.625,0.578277035691823,0.14129234843216
"89",2.23606797749979,226883,20.625,50.625,0.578277035691823,0.14129234843216
"92",1.73205080756888,229746,16.375,50.125,0.267497664131777,-0.000678136219202097
"93",3.16227766016838,229762,20.375,50.125,0.483050644508405,-0.0360734909113307
"96",1.4142135623731,232107,-113.375,49.625,0.416910643377569,0.0301340237905777
"97",1.4142135623731,232570,2.375,49.625,0.0281492776811874,-0.0369344794094225
"98",1.73205080756888,232629,17.125,49.625,0.679650376269151,-0.00983232221920205
"99",2.64575131106459,232646,21.375,49.625,0.226790608865845,-0.0643090229078723
"100",1.4142135623731,234060,14.875,49.375,0.388145873757209,0.00936615759057757
"103",1.4142135623731,235499,14.625,49.125,0.0281492776811874,-0.0369344794094225
"104",1.73205080756888,235837,99.125,49.125,0.39512726455917,0.073735042780798
"105",1.4142135623731,236883,0.625,48.875,0.0281492776811874,-0.0369344794094225
"106",1.4142135623731,236890,2.375,48.875,0.0281492776811874,-0.0369344794094225
"107",1.4142135623731,236892,2.875,48.875,0.0281492776811874,-0.0369344794094225
"108",2,236917,9.125,48.875,0.230262315839118,-0.0769238000166112
"109",3.16227766016838,236936,13.875,48.875,0.41031321839339,0.0318598910886694
"110",2,238330,2.375,48.625,0.194157558721207,-0.0742489570166112
