"","x","y","Temperature","Temperature_seasonality","Rain_seasonality","Precipitation","Humanpopdens","Human_footprint","PET","Ec.Het","EVI","Host_richness","Degree_of_generalism"
"22",-146.625,65.125,-2.29356873898726,2.84907996098138,0.610403584992662,-1.15183039501955,-0.229748952132387,-1.16307869202139,-1.57280975096956,-0.462867445989975,-1.37110548197878,-0.721029496007846,0.227531414035801
"23",-148.625,65.375,-2.14816103498958,2.79348537598116,0.869699610992074,-1.14558568201938,-0.229765058132385,-1.21479654202115,-1.46510949697226,-0.843297847986717,-1.05654415498226,-0.74684434600802,0.28737642703739
"24",-148.875,61.125,-1.94653901199279,0.702403173972984,-0.683559109004401,-0.460813880000678,-0.229230552132451,-1.08310293802176,-1.78714901796419,1.85128683799021,-2.81802548796281,-0.766205483008151,0.193763193034905
"25",-149.875,67.125,-2.57838795398272,2.81714861598125,0.575159463992742,-1.14031670501923,-0.229774066132384,-1.30249171802074,-1.70106740296635,-1.08388102798466,NA,-0.850103745008717,-0.266779703977319
"26",-150.875,60.625,-1.42037298900117,0.8857418439737,0.157264897993691,-0.755291124008718,-0.214754270134236,-0.832939462022919,-1.55188286997008,0.721842270999879,-0.746208150985682,-0.785566620008281,-0.408623563981084
"27",-159.375,62.875,-1.96302854499253,2.04439884597823,0.804246244992222,-0.956878263014223,-0.229775641132384,-1.32839413202062,-1.67011892096712,-0.951801895985788,-0.996282511982921,-0.856557457008761,0.184270593034653
"28",-2.125,38.875,0.0367021499756056,0.377964247971716,-0.416710772005007,-0.941168907013794,-0.185651843137824,-0.267201634025545,0.0658306519894236,-0.68650305198806,-1.20567545998061,-0.662946084007453,1.88425469907978
"29",-2.125,39.125,0.0756774109749845,0.377459182971714,-0.464542077004898,-0.966440480014484,-0.161160180140844,0.13012981997261,0.0963947039886585,-0.680343920988113,-1.16330412798108,-0.669399797007497,1.88425469907978
"30",-2.375,37.125,0.160373650973635,0.164957672970883,-0.102031128005721,-0.988492122015086,-0.218821333133734,-0.596108035024019,-0.086913166006753,-0.248000010991815,-1.67122650697547,-0.58550153500693,0.894047633053493
"31",-2.375,52.125,-0.468477193016344,-0.194723580030523,-1.31040095900298,-0.502672971001821,-0.00880451315962872,1.20358534496763,-1.17049813197963,0.202008555004331,1.093960516994,-0.901733444009066,0.0131596120301112
"32",-2.375,52.375,-0.50445435701577,-0.180525636030468,-1.34061020500291,-0.510576436002037,0.0259988268360801,1.26415268096735,-1.19611802297899,0.298273483003506,0.961929073995458,-0.901733444009066,0.0131596120301112
"33",-2.625,52.125,-0.480469581016153,-0.193507683030518,-1.27515683900306,-0.449788059000377,0.0416849338341461,1.08202566296819,-1.20131455897886,0.086125654005323,1.12959786299361,-0.966270568009502,0.0131596120301112
"34",-2.625,52.375,-0.565915346014791,-0.169937973030426,-1.28270915000304,-0.385389456998618,-0.147185651142567,0.709130773969923,-1.23766064897795,0.18102188800451,1.29614310799177,-0.959816856009458,0.0131596120301112
"35",-3.375,39.375,0.114652671974363,0.487563398972144,-0.268181980005344,-0.940583465013778,-0.180033580138517,0.0362256549730461,0.172583386986751,-0.387443047990621,-1.35418730197897,-0.630677522007235,0.322147527038313
"36",-3.375,39.875,0.0367021499756056,0.476713849972102,-0.376431777005098,-0.911116226012973,-0.202560411135739,0.141099331972559,0.0447183829899521,-0.337257539991051,-1.39127086197856,-0.591955248006974,0.0112753070300612
"37",-3.875,39.625,0.041948819975522,0.506026337972216,-0.326083034005212,-0.912970125013024,-0.192457050136985,0.101057737972745,0.078159632989115,-0.0824520289932332,-1.27257057597987,-0.598408960007017,0.0781237800318355
"38",-3.875,40.875,-0.551674385015018,0.303738368971425,-0.703698606004355,-0.675280740006534,-0.175499600139076,0.136248773972582,-0.506033022996262,-0.320148843991198,-0.2374176459913,-0.630677522007235,-0.249383164976857
"39",-36.625,-5.375,1.60995354795053,-1.25627711903467,2.59917893098815,-0.675671034006544,-0.195807380136572,-0.0803325670264128,1.19947312496105,-0.374233708990734,-0.348591133990072,0.259934791998779,-0.879589017993585
