"","SR","X","poligons","x","y","PSV","RPD"
"221",2,78807,293014,-6.625,39.125,0.142687134553653,-0.031982122276844
"224",2,79329,294453,-6.875,38.875,0.142687134553653,-0.031982122276844
"225",2,79330,294454,-6.625,38.875,0.142687134553653,-0.031982122276844
"226",3.74165738677394,79336,294460,-5.125,38.875,0.361619367257733,-0.0837311508111453
"229",1.4142135623731,79920,296062,35.375,38.625,0.0132330602955704,0.180678700870539
"230",2.64575131106459,80866,298772,-7.125,38.125,0.266442306164195,0.0160697539769761
"231",5.56776436283002,80942,298941,35.125,38.125,0.33083378812166,0.130793100698388
"232",1.4142135623731,81453,300382,35.375,37.875,0.477627133158443,0.0570088538705391
"235",2.64575131106459,82183,303104,-4.125,37.375,0.345370633373071,0.0418745389769762
"237",2,82554,304529,-7.875,37.125,0.282659296147775,0.00138674172315589
"239",1.4142135623731,82600,304682,30.375,37.125,0.10846564194055,-0.0793243341294609
"240",1.4142135623731,82601,304683,30.625,37.125,0.10846564194055,-0.0793243341294609
"242",1.73205080756888,82968,306122,30.375,36.875,0.234612076782988,-0.0801578335680133
"243",1.4142135623731,82969,306123,30.625,36.875,0.10846564194055,-0.0793243341294609
"244",3.60555127546399,83136,306966,-118.625,36.625,0.399084606372359,0.0428957031003226
"246",5.91607978309962,84219,311339,-105.375,35.875,0.374349537142522,-0.0438225447736984
"247",2.44948974278318,84220,311340,-105.125,35.875,0.336966120116999,0.00183857355109734
"248",1.73205080756888,84223,311343,-104.375,35.875,0.500473847852951,-0.00567007356801325
"249",4.24264068711928,84421,312774,-106.625,35.625,0.362812653003303,-0.0893145899397056
"250",5.29150262212918,84628,314215,-106.375,35.375,0.354027345150891,-0.121192890461263
"251",5.47722557505166,84829,315649,-107.875,35.125,0.355254472519242,-0.129632675225464
"252",2.64575131106459,85037,317089,-107.875,34.875,0.335419370056507,-0.0858432820230239
"254",2.44948974278318,85808,322845,-108.875,33.875,0.329853882849267,-0.0776071204489027
"255",2,85817,322854,-106.625,33.875,0.355840465347171,-0.053434523276844
"256",3.87298334620742,85999,324302,-104.625,33.625,0.368419864398448,-0.170869781748532
"260",2.64575131106459,90063,383357,-100.875,23.375,0.352146315179871,-0.0568709150230239
"261",1.4142135623731,90247,391984,-104.125,21.875,0.508904460558889,0.195660403870539
"262",1.4142135623731,90693,406413,-96.875,19.375,0.0215806796415949,-0.108953707129461
"263",3.3166247903554,90721,407846,-98.625,19.125,0.372076944871702,0.0200137728476115
"264",2,90884,454025,-73.875,11.125,0.298386748147952,-0.183005783276844
"265",2,90912,455471,-72.375,10.875,0.413144048752953,-0.058556336276844
"266",2,90940,456911,-72.375,10.625,0.413144048752953,-0.058556336276844
"269",3.3166247903554,92472,491465,-73.875,4.625,0.372863487175299,0.0647757358476115
"270",2.64575131106459,92479,491472,-72.125,4.625,0.385024580145258,-0.137628731023024
"271",1.4142135623731,94199,514489,-77.875,0.625,NA,-0.142709696129461
"272",1.4142135623731,94203,514493,-76.875,0.625,0.576711319013351,0.0409292038705391
"273",1.4142135623731,94204,514494,-76.625,0.625,0.576711319013351,0.0409292038705391
"275",1.73205080756888,94206,514496,-76.125,0.625,0.563418899035045,-0.0255939635680133
"276",1.4142135623731,94207,514497,-75.875,0.625,0.303572578131883,-0.110298589129461
"277",1.4142135623731,94258,514548,-63.125,0.625,0.592216578088482,0.118547206870539
"278",2.23606797749979,94316,515927,-78.375,0.375,0.322433816120282,-0.198090517689364
