"","Lineage_Name","parasiteGenus","Long","Lat"
"40","ACAGR1","Plasmodium",21.1,44.85
"41","ACAGR2","Haemoproteus",28.5333333333333,43.6666666666667
"42","ACAGR2","Haemoproteus",28.5333333333333,43.6666666666667
"43","ACARUF01","Haemoproteus",139.5,-33.65
"44","ACCBAD01","Plasmodium",99.9666666666667,14.0166666666667
"45","ACCBAD01","Plasmodium",99.9666666666667,14.0166666666667
"46","ACCBAD01","Plasmodium",99.9666666666667,14.0166666666667
"47","ACCBAD01","Plasmodium",142.216666666667,27.0666666666667
"48","ACCFRA02","Leucocytozoon",48.4653333333333,-17.0343333333333
"49","ACCFRA02","Leucocytozoon",48.4653333333333,-17.0343333333333
"50","ACCGUL01","Haemoproteus",116.368,39.9685
"51","ACCGUL02","Haemoproteus",116.368,39.9685
"52","ACCNIS01","Haemoproteus",116.368,39.9685
"53","ACCNIS02","Haemoproteus",116.368,39.9685
"54","ACCNIS03","Haemoproteus",116.2525,40
"55","ACCNIS04","Leucocytozoon",116.2525,40
"56","ACCNIS05","Plasmodium",116.358166666667,39.8836666666667
"57","ACCSOL01","Plasmodium",122.4606,11.065
"58","ACCTAC01","Plasmodium",19.0166666666667,47.7166666666667
"59","ACCTAC01","Plasmodium",16.9666666666667,57.1666666666667
"60","ACCTAC01","Plasmodium",16.9666666666667,57.1666666666667
"61","ACCTAC01","Plasmodium",33.6551166666667,-10.8661166666667
"62","ACCTAC01","Plasmodium",33.6551166666667,-10.8661166666667
"63","ACCTAC01","Plasmodium",33.8111666666667,-9.41155
"64","ACCTAC01","Plasmodium",0.5,47.5833333333333
"65","ACCTAC01","Plasmodium",-2.5,52.25
"66","ACCTAC01","Plasmodium",18.3333333333333,57.1666666666667
"67","ACCTAC01","Plasmodium",12,51.5
"68","ACCTRI01","Leucocytozoon",99.9666666666667,14.0166666666667
"69","ACDUM1","Haemoproteus",77.775825,30.17409
"70","ACDUM1","Haemoproteus",79.27328,30.44685
"71","ACDUM1","Haemoproteus",79.28503,30.47888
"72","ACDUM1","Haemoproteus",77.3813,13.32016
"73","ACDUM1","Haemoproteus",77.775825,30.17409
"74","ACDUM2","Haemoproteus",28.5333333333333,43.6666666666667
"75","ACDUM2","Haemoproteus",74.9333333333333,46.85
"76","ACDUM2","Haemoproteus",35.198785,38.246175
"77","ACDUM2","Haemoproteus",77.775825,30.17409
"78","ACDUM2","Haemoproteus",79.27328,30.44685
"79","ACDUM2","Haemoproteus",79.28503,30.47888
"80","ACDUM2","Haemoproteus",77.3813,13.32016
"81","ACDUM2","Haemoproteus",77.775825,30.17409
"82","ACDUM2","Haemoproteus",28.5333333333333,43.6666666666667
"83","ACDUM3","Haemoproteus",77.775825,30.17409
"84","ACDUM3","Haemoproteus",79.27328,30.44685
"85","ACDUM3","Haemoproteus",79.28503,30.47888
"86","ACDUM3","Haemoproteus",77.3813,13.32016
"87","ACDUM3","Haemoproteus",77.775825,30.17409
"88","ACDUM4","Haemoproteus",77.775825,30.17409
"89","ACDUM4","Haemoproteus",79.27328,30.44685
"90","ACDUM4","Haemoproteus",79.28503,30.47888
"91","ACDUM4","Haemoproteus",77.3813,13.32016
"92","ACDUM5","Haemoproteus",77.775825,30.17409
"93","ACDUM5","Haemoproteus",79.27328,30.44685
"94","ACDUM5","Haemoproteus",79.28503,30.47888
"95","ACDUM5","Haemoproteus",77.3813,13.32016
"96","ACNEW01","Haemoproteus",48.4653333333333,-17.0343333333333
"97","ACNEW01","Haemoproteus",48.4653333333333,-17.0343333333333
"98","ACNEW02","Haemoproteus",48.4653333333333,-17.0343333333333
"99","ACSTE1","Haemoproteus",26.4333333333333,44.0166666666667
"100","ACSTE1","Haemoproteus",29.6,44.9
"101","ACTLIN01","Haemoproteus",122.4606,11.065
"102","ACTLIN02","Haemoproteus",122.4606,11.065
"103","ACTLIN03","Haemoproteus",122.4606,11.065
"104","ACTLIN04","Leucocytozoon",122.4606,11.065
