"","SR","x","y"
"371",3,-57.875,-15.625
"372",2,-55.875,-15.625
"373",5,-55.625,-15.625
"374",2,-55.375,-15.625
"375",18,-41.125,-15.625
"376",18,-40.875,-15.625
"377",3,-56.375,-15.875
"378",5,-55.625,-15.875
"379",2,-69.875,-16.625
"381",20,-42.125,-16.625
"382",21,-44.125,-16.875
"383",2,-69.625,-17.125
"384",2,-47.625,-17.125
"385",2,-69.625,-17.375
"387",17,-44.875,-17.375
"390",25,-42.125,-18.125
"391",22,-41.875,-18.125
"392",10,-39.625,-18.125
"393",15,-56.875,-18.375
"394",2,-53.375,-19.375
"397",6,-53.375,-19.625
"399",5,-42.625,-20.375
"402",3,-63.125,-22.125
"403",18,-45.375,-22.125
"404",3,-63.125,-22.375
"405",15,-45.375,-22.375
"407",2,-53.625,-24.375
"409",9,-47.375,-24.375
"410",4,-47.375,-24.625
"411",2,-57.875,-24.875
"412",2,-58.375,-25.125
"418",8,-50.875,-28.125
"419",19,-49.875,-28.625
"420",3,-49.375,-28.625
"421",2,-49.125,-28.625
"422",2,-63.125,-29.125
"423",2,-62.875,-29.125
"424",3,-70.375,-29.375
"425",14,-56.625,-29.875
"426",5,-63.125,-30.375
"428",2,-70.875,-31.125
"432",4,-70.625,-32.875
"433",2,-69.125,-32.875
"436",2,-69.625,-33.125
"440",2,-70.625,-33.375
"441",2,-69.625,-34.125
"443",2,-70.875,-34.625
"445",6,-71.875,-35.375
"446",2,-63.625,-35.375
"447",2,-71.125,-36.125
"448",3,-71.625,-36.375
"449",2,-72.125,-37.625
"450",2,-72.875,-38.375
"451",2,-70.125,-38.625
"452",3,-72.875,-39.375
"453",2,-71.875,-39.375
"456",13,-70.625,-41.125
"458",2,-71.625,-43.625
