"","x","y","aet","Ec.Het","Humanpopdens","Human_footprint","Prec.seas.","rad","shannon_diversity","trange","Temperature","precipitation","Host_richness","Degree_of_generalism"
"43",-3.875,40.875,0.406870505221413,-0.192447253435974,-0.208843684395654,0.34836073035342,-0.25870255149038,-0.720869396318949,0.270213806259714,0.223972263505038,-0.483869196403333,-0.316696389214549,-0.623876411971195,0.0217166042837983
"44",-36.625,-5.375,0.57900100985631,0.398127914831247,-0.272932092438836,0.114833235874775,2.26619440832565,1.0071965325624,-1.01151489040947,-1.35338763654781,1.67488894544398,-0.511420472831885,0.228377971583236,-0.650802495901033
"45",-38.125,-11.125,0.646000175773479,-0.187269309443046,-0.161733792119238,0.174412883671666,-0.173989635528859,1.18000312545053,-1.39717066212609,-1.1261828305573,1.30420918557603,-0.253181589213063,0.568044573724495,-0.35896109530632
"46",-38.875,-12.125,1.10978726163576,0.158351793995291,1.34860098909548,1.07503560049824,-0.738654559955071,1.21939286353533,-0.664162913391071,-1.22923746139866,1.2741722019596,-0.0564905956601568,0.765668778606682,-0.586464268184624
"47",-39.625,-18.125,1.52566493388944,0.281613233462009,-0.294177525798527,-0.379065804087965,-0.618456872967538,1.34391526135178,1.11762532294017,-1.16132854379563,1.36265283815281,0.619306876355314,1.16091718837106,-0.498339686890121
"48",-39.875,-5.375,0.885223936978352,-0.179939522553387,-0.33343549022792,-0.290956964017018,1.82572326161227,0.972889341327254,0.291921679614693,-1.35025695161287,1.38043641668394,-0.343249673344143,0.296311292011488,0.352016213554515
"49",-4.125,37.375,0.154411611838116,-0.752108223616901,-0.149677636695451,0.477910597773231,0.337235347219438,-0.553145350280465,0.566919235788509,0.755705365705482,0.286980351361562,-0.648284622512439,-0.617700655568627,-0.324836877524432
"50",-4.125,40.375,-0.144518368904794,-0.348031666407002,0.0312292234192425,1.37887256518757,-0.420785953869679,-0.685291568371391,0.490089042431943,0.575112267968332,0.166154829086524,-0.865054488323854,-0.60534914276349,-0.0400351522417626
"51",-4.375,40.375,0.312672828392878,-0.26153977138046,-0.167759494974345,0.380548001219416,-0.443666409098874,-0.684020931658979,0.812248032805295,0.443612714544736,0.0813919779438076,-0.878085266646733,-0.617700655568627,-0.159912848074512
"52",-4.625,40.375,0.475331454047286,-0.0700262657298432,-0.231932795286212,-0.138695516053235,-0.447023832059393,-0.684020931658979,0.794682597085855,0.295640511091206,-0.132465667516488,-0.750809802901887,-0.636227924776332,-0.425190082610206
"53",-4.625,41.375,-0.20934368010846,-0.967005703338365,-0.219802638261613,0.815735870357423,-0.497008003285418,-0.745011493854791,0.570042189244124,0.555546168257652,-0.0940657262666548,-0.808833645999986,-0.667106706789174,0.108144290811468
