"","x","y","poligons","aet","Bird_richness","shannon_diversity","precipitation","Prec.seas.","rad","Human_footprint","Ec.Het","Humanpopdens","Tempseas","Temperature"
"295",-75.875,0.625,514497,938.63261616426,504,0.16012299955211,3626.12499999999,27.8018357753754,152.25,3.57318531278763,0.0139390134411676,7.0657057762146,61.7023344039917,25.1533203125
"296",-75.875,40.625,284097,738.712008742175,182,1.65127052998768,1169.75,13.4414940476417,76.25,18.008131315173,0.0234252591068432,55.0561904907227,920.248924255371,9.96323066949845
"297",-75.875,44.625,261057,607.408984108852,164,1.42017258106349,938.1875,15.5807941555977,68,11.2204162917288,0.0414445563747901,19.1092967987061,1076.98845672607,6.40394926071168
"298",-76.125,0.625,514496,936.399209147632,508,0.0587509119388476,3819.625,25.2831268310547,150.25,4.27189262107182,0.0132015413046792,11.6266145706177,57.5062606334687,25.0149940252304
"299",-76.125,40.625,284096,731.334195834321,177,1.53356003687694,1162.5,14.3705044984817,76.25,21.7297679476764,0.0237899793762383,103.242225646973,915.500102996826,9.8043677210808
"300",-76.375,-1.875,528895,873.141953819735,484,0.0010467426267113,3376.5625,18.1902596950531,151.75,0.79535861819477,0.0119423427735864,0.0960452184081078,50.4736876487732,25.4052301645279
"301",-76.375,-5.375,549055,990.903550001365,508,0.0255557788210704,2178.75,22.3328304290772,155.6875,1.08958419053577,0.0183737890089164,0.924914717674255,28.1982791423798,26.6836013793945
"302",-76.625,-5.375,549054,1016.31781765909,514,0.0556732420838382,2125,21.3627910614015,154.5625,1.30934870810652,0.0264836188747906,1.71816253662109,28.4855375289917,26.5309815406799
"303",-76.625,0.625,514494,892.630355364197,547,0.858774534923254,3609.0625,20.9617527723313,145.6875,8.01864728122131,0.0204752663928347,16.9055328369141,51.7870738506322,24.8770419359207
"304",-76.625,42.375,274014,673.349515731035,167,1.44247423772306,930.625000000001,19.5487195253372,70.75,13.7766917161557,0.033261769356806,44.2559967041016,940.774089813232,7.74175196886063
"305",-76.875,0.625,514493,876.986340578466,607,0.907299956355657,3522.62499999999,19.0115060806274,142.75,7.80327596888021,0.0380169432393747,18.4710712432861,39.2068634033208,24.1998760700226
"306",-77.125,-6.625,556252,892.993588805901,539,0.0458362293626523,1125.3125,31.5568213462828,153.25,1.65883445133981,0.0444531011850329,2.00009346008301,40.241675376892,19.2707890272141
"307",-77.375,-2.875,534651,956.969289488929,476,0.00295916260727635,2762.5625,14.512647151947,148.3125,1.55258519624607,0.016385667914571,1.08885669708252,44.8518126010893,25.7794417142868
"308",-77.375,-3.125,536091,968.796641812652,468,0.000994667431257581,2597,14.3936274647713,148.9375,0.5399541973542,0.0183230154987807,0.284001439809799,41.4068679809569,26.0741156339645
"309",-77.375,-7.625,562011,625.553472709149,364,0.92375462753889,1148.625,53.2655856609344,155.6875,2.18187545355615,0.0916386781264288,0.952628195285797,37.5066850185394,13.1543330550194
"310",-77.625,-2.875,534650,948.59714586207,454,0.0483962107056085,2706,16.0278787016868,146.4375,3.41946325023368,0.020109703646548,2.72744584083557,48.3334228992461,25.6607954502106
"311",-77.625,-3.125,536090,959.722437491627,452,0.00321851676152012,2556.375,15.8764883875846,147.3125,1.36303564608145,0.0193123785436672,0.284001469612122,44.2764828205108,25.9554527997971
"312",-77.625,-5.875,551930,670.941147007028,583,0.637030815429626,1214.375,24.0906469821931,146.875,4.61232663875701,0.0767768756540693,9.53521156311035,41.5669016838074,15.4886131882666
"313",-77.875,-0.625,521689,534.714911674478,624,0.513243720774077,2245.93750000003,25.826791882515,135.5,4.97492224918795,0.0859504290732814,2.1585373878479,36.346799135208,14.8003280758859
"314",-77.875,-1.875,528889,797.708110040997,595,0.290845796427067,3769.31249999999,13.5220906734467,141.9375,3.59766908934431,0.026267075331505,6.70627164840698,43.4455111026764,21.9058336019516
"315",-77.875,0.125,517369,474.17426905625,337,1.07661954898365,1160.50000000001,17.1954100728035,132.3125,3.7671678057743,0.0753192667448981,5.94944190979004,40.5215039253233,9.78767445683486
"316",-77.875,0.625,514489,514.296486771339,280,1.20246173694725,1098.5,28.0684925317765,130.6875,10.6461677163836,0.102261763617953,76.1763687133789,39.5850973129274,10.2829029262067
"317",-78.125,-4.125,541848,906.668596443879,391,0.0169837799258692,2009.50000000001,16.8295757770538,146.5,1.17658127612463,0.0382689317082002,1.44868183135986,29.948878288269,22.9514731168747
"318",-78.375,0.375,515927,618.614627741218,430,1.54575003660596,973.562499999997,41.004299879074,127.8125,8.63420259997829,0.081771050302041,52.306339263916,16.7283276915549,11.7279777526856
"319",-78.625,-1.125,524566,445.904047374435,231,1.23313311765871,667.687499999992,23.3970663547514,132.5,15.2383496857709,0.0795017670757074,242.230270385742,58.6663537025458,11.3460471034053
"320",-78.625,-1.375,526006,487.138984706209,227,1.12978045788619,762.000000000004,22.4641125202178,133.3125,13.6653040756598,0.0890188667575393,329.23779296875,56.7682995796203,10.2099318504335
"321",-78.875,-3.875,540405,850.447752656716,528,0.618096581917809,1328.56250000001,21.7553917169569,141.3125,5.45302055336279,0.0549992611673068,16.7373237609863,31.0580134391785,20.3166012763978
"322",-78.875,-4.875,546165,834.84205767175,415,0.221157151238811,1361.9375,26.2950547933578,144.0625,4.02238097683097,0.0547252943529953,10.0122089385986,30.2770320177079,18.3632344007493
"323",-78.875,-5.875,551925,800.537813325504,257,0.879963598484452,766.562499999987,40.5303084850316,147.4375,8.81082843124941,0.0740794681641514,71.1364898681641,58.24916791916,19.6413531303407
"324",-79.375,-0.125,518803,649.49230083353,314,0.728170054593242,2708.125,87.1831989288328,121.125,13.1190745289585,0.0273874889176676,96.4669189453125,64.606864452362,24.0962007045746
"325",-8.875,39.375,291565,873.69755343979,84,1.51670279433597,739.374999999998,59.7456195354462,70.6875,20.4698600625558,0.0331450934182112,77.3715286254883,408.312526702884,15.5588413476945
"326",-80.625,43.125,269678,546.143338474923,175,0.45710067960541,962.249999999999,14.5461195111275,68.25,18.9837151146154,0.0171614642870753,55.7835311889648,988.708438873291,7.37544023990632
"327",-81.875,27.875,357513,1073.68195452884,158,1.05736323224485,1275.1875,55.5995969772339,91.8125,24.5235004202465,0.042543664742417,144.722152709961,449.000658035278,22.4190397262573
"328",-81.875,28.125,356073,1120.33612921601,157,1.48682798576379,1259.6875,52.828234910965,91.4375,22.683640075698,0.0432787375209567,261.312896728516,458.493566513061,22.2463667392731
"329",-82.125,27.875,357512,1096.40968949131,162,0.880463603762997,1282.1875,56.3457939624787,91.9375,23.5084739209166,0.0359785792291909,153.231414794922,454.480504989624,22.398833990097
"330",-82.125,28.125,356072,1153.09782398161,161,1.00492198835617,1283.75,53.0199434757233,91.8125,24.0872316039307,0.0296922802081325,142.268447875977,462.937440872192,22.1576538085938
"331",-86.375,41.875,276855,689.025472763678,184,1.44574623434661,977.875,20.2899889945984,70.75,20.3875665505277,0.0569821871972023,81.1211776733398,982.458827972412,9.65779376029968
"332",-87.875,43.375,268209,638.850673780551,175,1.5327412045558,793.6875,34.2526633739471,69,31.3806330258129,0.105885371085262,163.825164794922,983.711124420163,7.87275847792627
"333",-89.875,38.625,295561,747.548717090245,188,0.842320046833251,968.3125,19.1560211181641,75.5,26.9248367096269,0.0238576257906575,259.862182617188,982.32950592041,12.6446672677994
"334",-94.125,48.875,236504,560.727161916447,158,1.12337549387938,673.750000000002,55.5178611278533,65.8125,2.63883887946056,0.0369324238397358,0.443365454673767,1286.61135864258,2.75516276061535
"335",-95.625,47.875,242258,545.86873907481,178,1.17999020100602,582.875000000001,64.822479724884,66.1875,2.96180430013044,0.0259521819272974,1.03856635093689,1300.1422958374,3.69028522074222
"336",-96.875,19.375,406413,1067.33683532495,286,1.38215314959411,1380,75.9473519325259,107.75,12.6711709888325,0.0433332142584976,219.922027587891,220.103304862976,20.7315175533295
"337",-97.625,40.875,282570,717.532069409415,179,0.0223774857313723,725.750000000001,52.8324031829834,76.9375,10.2569545636733,0.00858877862559067,17.9634017944336,1076.03662872314,10.2893935441971
"338",-98.625,19.125,407846,845.241948127298,171,1.88305184437563,1077.50000000001,89.3371467590331,115.75,12.6519319782538,0.0531852280521262,47.073169708252,143.956138610838,11.2183449864386
"339",-98.875,18.875,409285,885.774093437677,194,1.0486458428108,934.4375,104.019091129303,116.0625,22.5452948755489,0.0407752962581924,429.368438720703,171.300755500793,20.3873606920242
"340",-98.875,19.125,407845,757.616475690709,187,1.43697538649075,915.125000000012,94.5433459281922,116.1875,24.0928865733966,0.0627166685718647,462.993865966797,162.752610206603,14.5016302466392
"341",-99.125,18.875,409284,995.525553760586,204,1.67771787913181,982.187499999993,107.832430839539,116.1875,24.9140642772731,0.0342292404930654,1029.2451171875,180.032799720765,21.7292733192445
"342",-99.125,19.125,407844,882.018331308154,197,1.99446362593012,1100.93750000001,96.3560943603516,116.5625,24.9666387478513,0.0624318117950773,564.272583007812,151.086778640746,13.2833761572837
"343",0.125,41.875,277201,825.857725211566,88,0.453620683991096,453.375,28.7247140407563,65.25,15.5826401768478,0.0426102573445356,36.426155090332,682.390396118165,14.9242066144943
"344",0.375,46.125,252722,694.883393433219,59,0.762061128279657,825.6875,19.5983381271361,59.5,14.077280333737,0.0343407183546712,25.591760635376,547.139621734619,11.6783208847046
"345",0.375,48.375,239762,613.088137874673,57,0.980608848413472,691.874999999999,14.3355662226676,52.75,16.0345014178808,0.0362443022690904,37.3439445495605,522.092445373535,10.523930311203
"346",0.625,48.875,236883,577.111690433919,56,0.992311523298416,728.312499999997,15.1258189678191,51.75,13.6840811306853,0.0247946375838293,43.1463813781738,502.107717514039,9.98831444978714
"347",0.625,51.375,222483,495.481196065137,65,1.77491181754672,609.437500000001,18.7297568321229,47.8125,33.9981602311817,0.0636797143827075,880.457153320312,482.530757904052,10.1740446686745
"348",1.125,42.875,271445,806.261338181516,73,1.52197623142946,1138,14.1489984989167,68.5,7.98282222397512,0.0895780345031251,23.7463073730469,576.335037231446,8.51146870851514
"349",10.875,52.375,216764,559.71331341428,60,1.35919865036305,604.5625,17.1517342329026,50.75,19.4000074477473,0.0257652642032464,270.440093994141,631.492095947266,8.7685894370079
"350",11.625,51.375,222527,524.293097925887,63,0.612112543968082,557.187499999998,28.4350887537004,52.75,19.4019070574496,0.0235391541876238,100.919471740723,655.027210235596,8.87464356422427
"351",11.875,51.375,222528,514.006635761257,61,0.895262089214468,522.875,30.5891972780228,52.8125,25.2965242706688,0.0265147450369607,412.126647949219,663.379589080811,9.32847422361375
