"","x","y","aet","Ec.Het","Humanpopdens","Human_footprint","Prec.seas.","rad","shannon_diversity","trange","Temperature","precipitation","Host_richness"
"258",-71.875,-11.375,1060.0238257744,0.0124218333238075,1.05844223499298,1.06763732556034,50.7358522415161,159.9375,0.000214535536765501,13.6513594388962,24.6565012931824,2116.1875,511
"259",-71.875,-35.375,712.946245709948,0.0298687795305595,15.1090974807739,9.41585075654216,103.347589015961,178.5,1.57159114775175,23.5585936307908,13.3686131834984,841.062500000001,112
"260",-71.875,-39.125,835.078961844115,0.0795362154206688,15.0965480804443,6.70198767835432,62.4463670253753,188.25,1.49906574209991,22.0651413202286,9.10847848653799,1991.3125,98
"261",-71.875,-39.375,782.224753163795,0.100352896138166,16.9321804046631,6.11649667720958,62.5093195438385,187.9375,1.84998865346412,22.2492656707764,7.50675955414762,1832.12499999998,95
"262",-71.875,-46.875,286.160179674069,0.0590197260777701,0.503093957901001,1.39427073127661,28.7729378938671,187.5625,0.792060212529376,21.508749961853,2.97199732065193,411.374999999999,104
"263",-72.125,-37.625,795.742349770402,0.0268469519223441,29.322660446167,9.97506658252971,75.0085344314574,185.1875,1.69921991467616,23.7009840011597,12.5796393156051,1358.50000000001,113
"264",-72.125,4.625,903.20384153927,0.0481538756477672,2.85555195808411,7.84945767766483,62.8018198013305,147.25,0.5565918189974,14.0319987535477,26.7671458721161,2723.31249999999,332
"265",-72.375,-42.625,651.413740735842,0.0844804669605931,1.51675891876221,0.637638570227138,44.487135887146,182,1.64675678302474,18.4443373680115,7.27249908447256,1827.74999999999,97
"266",-72.375,10.625,1182.94381511338,0.0509325583942996,25.8914680480957,9.98498612622481,64.3976128101349,131.8125,1.35986594281095,11.6921100616455,25.9042043685914,1180.25,385
"267",-72.375,10.875,1274.47952063195,0.0678818968145107,50.2961540222168,10.0722585663788,63.7900459766388,132,1.36032294313022,11.5242027044296,25.4638893604279,1105.25,379
"268",-72.375,4.625,922.270683924122,0.0448210602899712,2.88825249671936,7.05556178961067,61.9130437374115,146.8125,0.33967511655866,13.9005150794983,26.7487301826477,2828.6875,347
"269",-72.625,-13.875,491.855317217123,0.030855880153559,11.5047817230225,7.33312439599193,88.5793356895449,170.5625,0.0983384352600553,20.7177817821503,7.58183327317245,954.874999999999,157
"270",-72.625,44.375,596.1514989936,0.0143704394337754,33.7588996887207,9.79749964969196,18.4016513824462,69.5625,0.903314128797291,39.9537653923035,5.19761410355568,1142.125,155
"271",-72.875,-13.875,572.431271879102,0.035632811309252,7.46374654769897,6.72321827589552,85.3326411247255,171.125,0.249740383937024,19.676218867302,10.2828701436517,1000.0625,159
"272",-72.875,-38.375,673.928310326328,0.0288553990912211,20.0825099945068,7.32982297057855,69.6229524612426,186.5625,1.40153012595647,20.9582494497299,11.7742838263512,1024.5,114
"273",-72.875,-39.375,721.792173988204,0.022819495646624,19.0665168762207,6.67773709678209,63.2843520641328,186.1875,0.769624525734244,19.0437959432602,10.9518684148789,2040.12500000001,110
"274",-73.125,42.125,678.602865568246,0.0162298942139157,10.0934343338013,9.68976053305306,7.63014307618136,74.25,0.519224754030761,37.6297976970672,7.18035027384757,1220.75,165
"275",-73.625,4.375,731.001279476251,0.0630681119970287,30.2587280273438,9.03712178675896,46.0094153881075,140.5,1.32457263878512,10.9321874976158,16.8977851867679,2408.31250000005,528
"276",-73.875,11.125,1146.7676897148,0.11324699027617,156.091674804688,8.57593795847044,70.0043201446532,136.1875,0.496284311367361,11.3663102984429,22.3065791130064,1375.56250000001,459
"277",-73.875,4.625,581.111284783126,0.0963806310490026,51.7344627380371,14.1637892955701,43.6689414978031,139.1875,1.24513919896503,11.5458283424377,12.059861600399,1606.81250000001,414
"278",-73.875,40.875,603.767577291187,0.0903912189972898,7901.21923828125,39.8061032255852,9.98444306850435,76.1875,0.839747354015526,34.5180346965789,11.6144033074379,1179.3125,191
"279",-73.875,42.125,731.943152152156,0.0359982817501146,80.7774124145508,19.2305528733296,13.0381972193718,74,1.41826974960516,38.4533281326294,9.21242779493331,1044.75,166
"280",-74.125,40.375,710.248642215482,0.0813059117117024,641.776000976562,36.3198705920968,10.5362164974212,76.75,1.47040781023065,33.8293168544769,11.7066647410393,1201.8125,183
"281",-74.125,40.625,533.639912134649,0.0872635944170167,4338.3525390625,38.470783558285,10.831485569477,76.75,0.817875710783249,34.4961383342742,11.8861917257309,1223.5,186
"282",-74.375,40.125,817.705271157077,0.0394257161151113,207.526062011719,25.4802163731145,10.285821557045,77.0625,1.64144661997998,34.5963141918182,11.521275639534,1168.0625,181
"283",-74.625,39.875,881.085035969385,0.0242292176028969,88.1571502685547,17.7051582840272,11.7493795156479,77.5625,1.84479842996348,34.7470936775207,11.7794470787048,1155.5625,180
"284",-75.125,-11.875,477.99214311456,0.0496352023319621,227.039627075195,10.1616033923983,63.902275085449,162.5625,0.502104300108981,17.0014374256134,8.10962709784493,964.375000000005,304
"285",-75.375,-10.125,945.953252609889,0.0501671036713146,2.8600754737854,1.7102616008941,42.75621509552,157.0625,0.728951273453366,13.4564065337181,23.4468041658402,2004.50000000001,525
"286",-75.375,44.375,632.152849032313,0.0207010054679167,20.2019538879395,7.84620146186993,19.6542139053344,68,1.29522081683434,40.924548625946,6.3809425830841,958.750000000002,163
"287",-75.375,44.625,604.323898537901,0.0310107131630088,35.2737426757812,12.6766212269619,18.7419613599778,68,1.48512956016737,41.1544382572174,6.48339772224426,908.125000000001,162
"288",-75.375,44.875,552.216693162252,0.0315034448350098,21.2274017333984,12.7212503287857,14.6264821290971,67.75,1.5620812923846,41.6762509346008,6.21726697683335,936.4375,161
"289",-75.625,-6.625,984.151824425077,0.0287710286160648,4.22378540039062,3.58677914177357,30.8864948749543,160.75,0.0649185318722662,12.6073276996613,26.4853483438492,2046.875,556
"290",-75.625,44.375,626.675181100461,0.0401699197911912,7.12318706512451,7.29720093073524,18.2253503799439,68,1.52270165319808,40.2959206104279,6.65717509388923,947.187500000001,164
"291",-75.625,44.625,608.789331562472,0.0378396847850938,83.296516418457,17.3417664680433,16.8678271174431,68,1.5944924090027,40.3448278903961,6.52745515108109,910.624999999999,163
"292",-75.875,-5.375,946.323888606504,0.0284514436633137,1.88402426242828,2.29696961103479,25.530199289322,157.75,0.247822657261311,11.7006410360336,27.0389865636826,2217.8125,526
